ลำดับ,รหัสโครงการ,ชื่อโครงการ,ชื่อประเภทโครงการ,ชื่อหน่วยงาน,ชื่อหน่วยงานย่อย,วิธีจัดซื้อฯ,กลุ่มวิธีจัดซื้อฯ,วันที่ประกาศ,งบประมาณ(บาท),ราคากลาง(บาท),ราคาตกลงซื้อ/จ้าง,ปีงบประมาณ,วันที่เกิดรายการ,จังหวัด
4528670,68039602141,ซื้อน้ำดื่มเพื่อบริการประชาชน เดือน เมษายน  ๒๕๖๘  โดยวิธีเฉพาะเจาะจง,ซื้อ,องค์การบริหารส่วนตำบลยาง,องค์การบริหารส่วนตำบลยาง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,31 มี.ค. 68,สุรินทร์
4528671,68039494103,จ้างเหมาจัดทำตรายาง (สำนักปลัด) จำนวน 6 รายการ โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลป่าตาล,เทศบาลตำบลป่าตาล,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,25 มี.ค. 68,เชียงราย
4528672,68039260039,จ้างทำตรายาง จำนวน ๕ รายการ โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลทะเลทรัพย์,เทศบาลตำบลทะเลทรัพย์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,11 มี.ค. 68,ชุมพร
4528673,68039351331,จ้างซ่อมเครื่องตัดหญ้า จำนวน 2 เครื่อง  1 งาน โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,มหาวิทยาลัยมหาสารคาม,กองอาคารและสถานที่ มหาวิทยาลัยมหาสารคาม,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,21 มี.ค. 68,มหาสารคาม
4528674,68039578056,ซื้อวัสดุงานบ้านงานครัว โดยวิธีเฉพาะเจาะจง,ซื้อ,เทศบาลตำบลรัตนวารีศรีเจริญ,เทศบาลตำบลรัตนวารีศรีเจริญ,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,27 มี.ค. 68,อำนาจเจริญ
4528675,68039614969,จ้างซ่อมรถบรรทุกน้ำดับเพลิง จำนวน ๓ รายการ โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลเชียรใหญ่,เทศบาลตำบลเชียรใหญ่,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,31 มี.ค. 68,นครศรีธรรมราช
4528676,68039083484,จ้างทำสติกเกอร์ โปรดช่วยกันรักษาความสะอาด จำนวน ๔๐๐ ชิ้น (กองคลัง) โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,องค์การบริหารส่วนตำบลละแม,องค์การบริหารส่วนตำบลละแม,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,5 มี.ค. 68,ชุมพร
4528677,68039272978,จ้างทำตรายาง จำนวน ๒ รายการ (กองคลัง) โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลบ้านส้อง,เทศบาลตำบลบ้านส้อง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1500,1500,1480,2568,17 มี.ค. 68,สุราษฎร์ธานี
4528678,68039308552,จ้างทำป้ายไวนิล ป้ายอะคริลิค โฟมบอร์ด เพื่อใช้ในกองทุนสวัสดิการชุมชนเทศบาลตำบลหัวไทร โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลหัวไทร,เทศบาลตำบลหัวไทร,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,18 มี.ค. 68,นครศรีธรรมราช
4528679,68049003116,ซื้อวัสดุสำนักงาน โดยวิธีเฉพาะเจาะจง,ซื้อ,โรงพยาบาลท่าตะเกียบ,โรงพยาบาลท่าตะเกียบ,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,28 มี.ค. 68,ฉะเชิงเทรา
4528680,68039557408,จ้างจัดทำเอกสารผู้เข้าร่วมโครงการค่ากิจกรรมพัฒนาคุณภาพผู้เรียนช่วงอายุเด็ก 3-5 ปี (โครงการส่งเสริมการเรียนรู้สู่โลกกว้างทางปัญญา) ประจำปีงบประมาณ 2568 โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลคอนสาร,ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลคอนสาร,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,18 มี.ค. 68,ชัยภูมิ
4528681,68039171996,ซื้อน้ำดื่มตามโครงการวันท้องถิ่นไทย ประจำปี ๒๕๖๘ จำนวน ๑ โครงการ (สำนักปลัด)   โดยวิธีเฉพาะเจาะจง,ซื้อ,เทศบาลตำบลสันนาเม็ง,เทศบาลตำบลสันนาเม็ง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,10 มี.ค. 68,เชียงใหม่
4528682,68039285477,จ้างตรวจเช็คสภาพและเปลี่ยนน้ำมันเครื่องรถยนต์ส่วนกลาง หมายเลขทะเบียน กค 8824 ตรัง โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,องค์การบริหารส่วนตำบลทุ่งยาว,องค์การบริหารส่วนตำบลทุ่งยาว,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,14 มี.ค. 68,ตรัง
4528683,68039243797,จ้างจัดจ้างถ่ายเอกสาร  จำนวน  ๑  รายการ โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,องค์การบริหารส่วนตำบลห้วยยาง,องค์การบริหารส่วนตำบลห้วยยาง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,11 มี.ค. 68,ประจวบคีรีขันธ์
4528684,68039463982,ซื้อวัสดุไฟฟ้าและวิทยุ(งานบริหารทั่วไป) จำนวน ๓ รายการ โดยวิธีเฉพาะเจาะจง,ซื้อ,องค์การบริหารส่วนตำบลท่าหมื่นราม,องค์การบริหารส่วนตำบลท่าหมื่นราม,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,24 มี.ค. 68,พิษณุโลก
4528685,68039305278,จ้างเหมาทำตรายาง โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,โรงพยาบาลจุน,โรงพยาบาลจุน,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,11 มี.ค. 68,พะเยา
4528686,68039237341,ซื้อวัสดุการเกษตร  ใช้กับเลื่อยยนต์  จำนวน  2  รายการ  เพื่อใช้ในการปฏิบัติงานของพนักงานเจ้าหน้าที่กองสาธารณสุขและสิ่งแวดล้อม โดยวิธีเฉพาะเจาะจง,ซื้อ,เทศบาลตำบลป่าก่อดำ,เทศบาลตำบลป่าก่อดำ,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,25 มี.ค. 68,เชียงราย
4528687,68059469229,ซื้อวัสดุ (ป้ายไวนิล โครงการพลศึกษาและกีฬากับการพัฒนาเด็ก เยาวชน และประชาชน ในชุมชนให้มีสุขภาวะที่ดี คณะวิทยาศาสตร์การกีฬาและสุขภาพ) จำนวน ๑ ป้าย โดยวิธีเฉพาะเจาะจง,ซื้อ,มหาวิทยาลัยการกีฬาแห่งชาติ วิทยาเขตมหาสารคาม,มหาวิทยาลัยการกีฬาแห่งชาติ วิทยาเขตมหาสารคาม,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,26 พ.ค. 68,มหาสารคาม
4528688,68059360974,ซื้อวัสดุสำนักงาน โดยวิธีเฉพาะเจาะจง,ซื้อ,เทศบาลตำบลท่าแพ,เทศบาลตำบลท่าแพ,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,8 พ.ค. 68,นครศรีธรรมราช
4528689,68059055787,จ้างทำตรายาง ตราประทับบัตรเลือกตั้งของเทศบาลตำบลสมหวัง (ด้ามหมึกในตัว) จำนวน ๒ อัน (ตามรายละเอียดรายการและรายละเอียดคุณลักษณะเฉพาะของพัสดุ)  โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลตำบลสมหวัง,เทศบาลตำบลสมหวัง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,2 พ.ค. 68,พัทลุง
4528690,68059536909,ซื้อแก๊สหุงต้ม โดยวิธีเฉพาะเจาะจง,ซื้อ,สาธิตมหาวิทยาลัยราชภัฏเชียงใหม่,สาธิตมหาวิทยาลัยราชภัฏเชียงใหม่,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,16 พ.ค. 68,เชียงใหม่
4528691,68059300250,ซื้อวัสดุสำนักงาน จำนวน ๗ รายการ สำหรับโครงการส่งเสริมและพัฒนาผู้ประกอบการวิสาหกิจชุมชน โดยวิธีเฉพาะเจาะจง,ซื้อ,กรมส่งเสริมการเกษตร,สำนักงานเกษตรอำเภอบ้านหมี่,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,20 พ.ค. 68,ลพบุรี
4528692,68059200457,ซื้อรายงานจัดซื้อผักปลอดสารพิษ  จำนวน ๗ รายการ ในวันที่ ๑๖ พฤษภาคม ๒๕๖๘ โดยวิธีเฉพาะเจาะจง,ซื้อ,โรงพยาบาลนครพนม,กลุ่มงานโภชนศาสตร์ โรงพยาบาลนครพนม,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,15 พ.ค. 68,นครพนม
4528693,68059096789,ซื้อวัสดุเชื้อเพลิงและหล่อลื่น โดยวิธีเฉพาะเจาะจง,ซื้อ,เทศบาลเมืองปางมะค่า,เทศบาลเมืองปางมะค่า,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,1 พ.ค. 68,กำแพงเพชร
4528694,68069008294,ซื้อท่อPVCและกาว โดยวิธีเฉพาะเจาะจง,ซื้อ,องค์การบริหารส่วนตำบลบ้านม่วง,องค์การบริหารส่วนตำบลบ้านม่วง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,23 พ.ค. 68,อุดรธานี
4528695,68069000288,ซื้อผักปลอดสารพิษ วันที่ ๒ มิถุนายน ๒๕๖๘ จำนวน ๗ รายการ โดยวิธีเฉพาะเจาะจง,ซื้อ,โรงพยาบาลนครพนม,กลุ่มงานโภชนศาสตร์ โรงพยาบาลนครพนม,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,30 พ.ค. 68,นครพนม
4528696,68059433735,จ้างเปลี่ยนถ่ายน้ำมันเครื่องรถยนต์ส่วนกลาง ทะเบียน กข-๒๒๘๘ พังงา โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,องค์การบริหารส่วนตำบลโคกเจริญ,องค์การบริหารส่วนตำบลโคกเจริญ,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,27 พ.ค. 68,พังงา
4528697,68059205839,ซื้อยา Cefurim 750 mg inj จำนวน 40 Vial โดยวิธีเฉพาะเจาะจง,ซื้อ,โรงพยาบาลเจริญกรุงประชารักษ์,โรงพยาบาลเจริญกรุงประชารักษ์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,6 พ.ค. 68,กรุงเทพมหานคร
4528698,68059342608,จ้างเหมาทำบัตรพนักงาน องค์การบริหารส่วนตำบลพยอม โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,องค์การบริหารส่วนตำบลพยอม,องค์การบริหารส่วนตำบลพยอม,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,19 พ.ค. 68,พระนครศรีอยุธยา
4528699,68059188266,จ้างเหมาจัดทำตรายาง จำนวน ๔ รายการ ขององค์การบริหารส่วนตำบลศิลา โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,องค์การบริหารส่วนตำบลศิลา,องค์การบริหารส่วนตำบลศิลา,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,16 พ.ค. 68,เพชรบูรณ์
4528700,68059200718,ซื้อวัสดุสำนักงาน โดยวิธีเฉพาะเจาะจง,ซื้อ,กรมส่งเสริมการเกษตร,สำนักงานเกษตรอำเภอเมืองลพบุรี,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,13 พ.ค. 68,ลพบุรี
4528701,68059208694,ซื้อวัสดุเชื้อเพลิงเเละหล่อลื่น โดยวิธีเฉพาะเจาะจง,ซื้อ,องค์การบริหารส่วนตำบลตาลชุม,องค์การบริหารส่วนตำบลตาลชุม,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,14 พ.ค. 68,น่าน
4528702,68059275313,จ้างเหมาซ่อมบำรุงรักษารถยนต์ส่วนราชการ หมายเลขทะเบียน กข ๗๓๑๖  บร โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,องค์การบริหารส่วนตำบลบ้านคู,องค์การบริหารส่วนตำบลบ้านคู,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,19 พ.ค. 68,บุรีรัมย์
4528703,68059300454,ซื้อวัสดุก่อสร้าง เทศบาลตำบลโพธิ์ไทร  โดยวิธีเฉพาะเจาะจง,ซื้อ,เทศบาลตำบลโพธิ์ไทร,เทศบาลตำบลโพธิ์ไทร,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,19 พ.ค. 68,อุบลราชธานี
4528704,68069000255,จ้างซ่อมแซมครุภัณฑ์ เครื่องพิมพ์เอกสาร จำนวน 1  เครื่อง  โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,องค์การบริหารส่วนจังหวัดศรีสะเกษ,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพะแวะ,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,16 พ.ค. 68,ศรีสะเกษ
4528705,68059306942,ซื้อวัสดุคอมพิวเตอร์ จำนวน 1 รายการ  โดยวิธีเฉพาะเจาะจง,ซื้อ,สำนักงานปลัดกระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,สำนักงานปลัดกระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,21 พ.ค. 68,กรุงเทพมหานคร
4528706,68059117974,ซื้อวัสดุการเกษตร จำนวน ๒ รายการ โดยวิธีเฉพาะเจาะจง,ซื้อ,เทศบาลเมืองเบตง,เทศบาลเมืองเบตง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,20 พ.ค. 68,ยะลา
4528707,68059453523,จ้างซ่อมครุภัณฑ์คอมพิวเตอร์ หมายเลขครุภัณฑ์ ๔๘๓-๕๙-๐๐๐๓  โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,องค์การบริหารส่วนจังหวัดหนองบัวลำภู,องค์การบริหารส่วนจังหวัดหนองบัวลำภู,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,30 พ.ค. 68,หนองบัวลำภู
4528708,68069584290,ซื้อน้ำมันเชื้อเพลิง สำหรับพาหนะ รับ - ส่ง นักเรียน หมายเลขทะเบียน นก 3779 ลำปาง ประจำเดือน มิถุนายน 2568 โครงการพัฒนางานบริหารทั่วไป กิจกรรมบำรุงซ่อมแซมยานพาหนะรับ ส่ง นักเรียน  โดยวิธีเฉพาะเจาะจง,ซื้อ,โรงเรียนบ้านสองแควใต้,โรงเรียนบ้านสองแควใต้,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,9 มิ.ย. 68,ลำปาง
4528709,68069531774,ซื้อวัสดุ โครงการกิจกรรมพัฒนาผู้เรียนกลุ่มสาระการเรียนรู้สังคมศึกษา ศาสนา และวัฒนธรรม วันไหว้ครู  โดยวิธีเฉพาะเจาะจง,ซื้อ,โรงเรียนเทศบาล 1 วัดพระงาม (สามัคคีพิทยา),โรงเรียนเทศบาล 1 วัดพระงาม (สามัคคีพิทยา),วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,17 มิ.ย. 68,นครปฐม
4528710,68069440841,จ้างซ่อมแซมเครื่องชั่งน้ำหนัก  รุ่น TCS-250LP จำนวน ๑ เครื่อง  ตาม RP๐๕-๓๓ โครงการสนับสนุนค่าใช้จ่ายต่าง ๆ เช่น ค่าสาธารณูปโภค (ระดับวิทยาลัย)  ตามแผนปฏิบัติการประจำปี  ประจำปีงบประมาณ ๒๕๖๘ โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,สถาบันพระบรมราชชนก,วิทยาลัยพยาบาลบรมราชชนนี พุทธชินราช,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,23 มิ.ย. 68,พิษณุโลก
4528711,68059503424,จ้างบำรุงรักษาและซ่อมแซมยานพาหนะ (นค-6908) โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,เทศบาลนครนครสวรรค์,เทศบาลนครนครสวรรค์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,9 มิ.ย. 68,นครสวรรค์
4528712,68069215953,ซื้อวัสดุสำนักงาน  รายการน้ำดื่มประจำเดือนพฤษภาคม 2568 โดยวิธีเฉพาะเจาะจง,ซื้อ,กรุงเทพมหานคร,สถานธนานุบาลดอนเมือง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,5 มิ.ย. 68,กรุงเทพมหานคร
4528713,68049009291,ซื้อวัสดุคอมพิวเตอร์ จำนวน 1 รายการ  โดยวิธีเฉพาะเจาะจง,ซื้อ,สำนักงานปลัดกระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,สำนักงานปลัดกระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,3 เม.ย. 68,กรุงเทพมหานคร
4528714,68029182868,ซื้อวัสดุงานวิทยบริการและห้องสมุด จำนวน 1 รายการ โดยวิธีเฉพาะเจาะจง,ซื้อ,วิทยาลัยสารพัดช่างพิจิตร,วิทยาลัยอาชีวศึกษาพิจิตร,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,6 ก.พ. 68,พิจิตร
4528715,68019454698,จ้างเปลี่ยนถ่ายน้ำมันเครื่องรถยนต์หมายเลขทะเบียน นง-7387 เชียงใหม่ โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,โรงพยาบาลธัญญารักษ์เชียงใหม่,โรงพยาบาลธัญญารักษ์ เชียงใหม่,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,4 ก.พ. 68,เชียงใหม่
4528716,68029275830,ซื้อวัสดุอุปกรณ์ใช้ในการจัดกิจกรรมครูภูมิปัญญาท้องถิ่น (สอนทำกล้วยบวชชี) ตามโครงการสืบสานภูมิปัญญาท้องถิ่นของศูนย์พัฒนาเด็กเล็ก ประจำปีงบประมาณ พ.ศ. ๒๕๖๘ ของศูนย์พัฒนาเด็กเล็กเตรียมปริญญานุสรณ์ โดยวิธีเฉพาะเจาะจง,ซื้อ,องค์การบริหารส่วนตำบลบางพลีใหญ่,กองการศึกษา ศาสนาและวัฒนธรรม,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,17 ก.พ. 68,สมุทรปราการ
4528717,67119524880,จ้างทำตรายาง โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,กรมส่งเสริมการเรียนรู้,ศูนย์ส่งเสริมการเรียนรู้อำเภอเขาค้อ,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,26 พ.ย. 67,เพชรบูรณ์
4528718,67119092619,จ้างทำตรายางลงชื่อพร้อมตำแหน่ง โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,องค์การบริหารส่วนตำบลเจดีย์หัก,องค์การบริหารส่วนตำบลเจดีย์หัก,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,6 พ.ย. 67,ราชบุรี
4528719,67129311794,ซื้อวัสดุ จำนวน  5 รายการ โดยวิธีเฉพาะเจาะจง,ซื้อ,มหาวิทยาลัยราชภัฏเพชรบูรณ์,มหาวิทยาลัยราชภัฏเพชรบูรณ์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,12 ธ.ค. 67,เพชรบูรณ์
4528720,67129097411,จ้างทำตรายาง จำนวน 6 ดวง โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,กรมตรวจบัญชีสหกรณ์,กรมตรวจบัญชีสหกรณ์,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,9 ธ.ค. 67,กรุงเทพมหานคร
4528721,68019070624,จ้างเปลี่ยนถ่ายน้ำมันเครื่องรถยนต์หมายเลขทะเบียน ขห-1473 เชียงใหม่  โดยวิธีเฉพาะเจาะจง,จ้างทำของ/จ้างเหมาบริการ,โรงพยาบาลธัญญารักษ์เชียงใหม่,โรงพยาบาลธัญญารักษ์ เชียงใหม่,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,13 ม.ค. 68,เชียงใหม่
4528722,68019377521,ซื้อวัสดุการเกษตร จำนวน 5 รายการ โดยวิธีเฉพาะเจาะจง,ซื้อ,กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช,โครงการฟาร์มตัวอย่างตามพระราชดำริบ้านดงเย็น่,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,8 ม.ค. 68,เชียงใหม่
4528723,68019206432,"ซื้อLevofloxacin ๕๐๐ mg film-coated tablet, ๑๐ tablet จำนวน ๔๐ กล่อง โดยวิธีเฉพาะเจาะจง",ซื้อ,โรงพยาบาลสรรคบุรี,โรงพยาบาลสรรคบุรี,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,7200,1480,2568,7 ม.ค. 68,ชัยนาท
4528724,68019154016,ซื้ออะไหล่รถตักหน้าขุดหลัง JCB  รวม 1 รายการ สำหรับงานซ่อมแซม ทรบ.ปลายคลองส่งน้ำ 14 ขวา กม.9+400 โครงการส่งน้ำและบำรุงรักษาช่องแค ตำบลบางพึ่ง อำเภอบ้านหมี่ จังหวัดลพบุรี โดยวิธีเฉพาะเจาะจง,ซื้อ,กรมชลประทาน,โครงการส่งน้ำและบำรุงรักษาช่องแค (ลพบุรี) กรมชลประทาน,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,13 ม.ค. 68,นครสวรรค์
4528725,68019138490,ซื้อวัสดุสำนักงาน โครงการส่งเสริมและพัฒนาผู้ประกอบการวิสาหกิจชุมชน  โดยวิธีเฉพาะเจาะจง,ซื้อ,กรมส่งเสริมการเกษตร,สำนักงานเกษตรอำเภอท่าวุ้ง,วิธีการจัดหา ประกาศเชิญชวนทั่วไป คัดเลือก เฉพาะเจาะจง,เฉพาะเจาะจง,-,1480,1480,1480,2568,7 ม.ค. 68,ลพบุรี
